t`s	v(l3bl3)`V`float	v(l3bl5)`V`float	v(l3bl2)`V`float	v(l3bl6)`V`float	v(l3bl1)`V`float	v(l3bl7)`V`float	v(l3bl0)`V`float	v(l3bl8)`V`float	v(l3bl4)`V`float	v(l3bl9)`V`float
3.2032e-08	NULL	0.656615	NULL	NULL	NULL	NULL	0.611696	NULL	NULL	NULL
3.2048e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.590048
3.2064e-08	NULL	NULL	NULL	NULL	0.651778	NULL	NULL	0.569751	NULL	NULL
3.2096e-08	NULL	NULL	NULL	NULL	NULL	0.649303	NULL	NULL	NULL	NULL
3.216e-08	NULL	NULL	NULL	0.582203	0.651794	NULL	0.610968	0.569075	NULL	NULL
3.2192e-08	NULL	0.657121	0.611834	NULL	NULL	0.649125	NULL	NULL	NULL	NULL
3.2224e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.602162	0.589855
3.224e-08	NULL	NULL	NULL	NULL	0.652357	NULL	NULL	NULL	NULL	NULL
3.2272e-08	NULL	0.657617	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.2304e-08	NULL	NULL	NULL	NULL	0.652643	NULL	0.61055	NULL	NULL	NULL
3.232e-08	0.635756	NULL	0.611688	NULL	NULL	0.649147	NULL	NULL	NULL	0.59009
3.2352e-08	NULL	NULL	NULL	0.584298	NULL	NULL	NULL	NULL	NULL	NULL
3.2384e-08	NULL	0.657749	NULL	NULL	NULL	NULL	0.610114	NULL	0.601554	NULL
3.2416e-08	0.635879	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.2432e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.590745
3.2448e-08	NULL	NULL	NULL	0.585665	NULL	NULL	NULL	0.5682	NULL	NULL
3.248e-08	0.635956	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.2496e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.591551
3.2512e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.601351	NULL
3.2528e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.568156	NULL	NULL
3.256e-08	0.636014	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.2576e-08	NULL	NULL	0.611582	NULL	0.653203	NULL	NULL	NULL	NULL	NULL
3.2608e-08	NULL	0.657258	NULL	0.588247	NULL	NULL	NULL	NULL	NULL	NULL
3.2624e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.608644	0.567349	NULL	NULL
3.264e-08	NULL	NULL	NULL	NULL	NULL	0.648693	NULL	NULL	NULL	NULL
3.2656e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.593633
3.2672e-08	NULL	NULL	0.611742	NULL	NULL	NULL	0.608267	0.56688	NULL	NULL
3.2688e-08	0.635909	0.656975	NULL	0.589543	NULL	NULL	NULL	NULL	NULL	NULL
3.2704e-08	NULL	NULL	0.611988	0.589954	0.653337	0.648749	0.608155	0.566679	0.601128	0.59463
3.2752e-08	0.636322	0.657163	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.2784e-08	NULL	NULL	NULL	NULL	0.654305	NULL	NULL	NULL	NULL	0.5967
3.28e-08	0.636677	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.601898	NULL
3.2816e-08	NULL	NULL	NULL	0.593313	NULL	NULL	NULL	NULL	NULL	NULL
3.2832e-08	NULL	NULL	NULL	NULL	NULL	0.649894	NULL	NULL	NULL	NULL
3.2848e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.566752	NULL	NULL
3.2864e-08	NULL	NULL	NULL	NULL	0.655645	NULL	NULL	NULL	NULL	NULL
3.288e-08	NULL	NULL	NULL	0.594779	NULL	NULL	NULL	NULL	0.602815	NULL
3.2896e-08	NULL	NULL	NULL	NULL	NULL	0.649937	NULL	NULL	NULL	NULL
3.2912e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.608427	NULL	NULL	NULL
3.2928e-08	NULL	0.657941	NULL	NULL	NULL	NULL	NULL	NULL	0.603504	NULL
3.2944e-08	NULL	NULL	0.615203	NULL	NULL	NULL	NULL	0.567533	NULL	NULL
3.296e-08	NULL	NULL	NULL	NULL	0.657283	NULL	NULL	NULL	NULL	NULL
3.2976e-08	NULL	0.658524	NULL	NULL	NULL	NULL	NULL	0.568035	0.604499	0.600511
3.2992e-08	NULL	NULL	0.616223	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.3008e-08	NULL	NULL	NULL	0.597415	NULL	NULL	0.60923	NULL	NULL	NULL
3.3024e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.605715	0.601694
3.304e-08	NULL	NULL	NULL	NULL	0.658912	NULL	NULL	NULL	NULL	NULL
3.3056e-08	NULL	0.659837	0.617509	0.598338	NULL	NULL	NULL	0.569538	NULL	NULL
3.3088e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.602673
3.312e-08	NULL	NULL	0.618633	NULL	0.659893	NULL	NULL	NULL	NULL	NULL
3.3136e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.610371	0.571073	NULL	NULL
3.3152e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.608227	NULL
3.3184e-08	0.638137	NULL	NULL	NULL	0.660729	0.649586	NULL	NULL	NULL	0.603797
3.32e-08	NULL	NULL	0.620122	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.3216e-08	NULL	0.661593	NULL	NULL	NULL	NULL	NULL	0.57289	NULL	NULL
3.3232e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.611771	NULL	0.609377	NULL
3.3248e-08	NULL	NULL	NULL	0.601517	0.661515	NULL	NULL	NULL	NULL	NULL
3.3264e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.573663	NULL	0.604233
3.328e-08	0.638556	0.66193	0.621024	NULL	NULL	NULL	0.612293	NULL	0.609696	NULL
3.3296e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.573939	NULL	NULL
3.3312e-08	NULL	NULL	NULL	NULL	0.661869	0.650122	NULL	NULL	NULL	NULL
3.3328e-08	NULL	NULL	NULL	0.602378	NULL	NULL	0.612343	NULL	NULL	0.604327
3.3344e-08	NULL	NULL	0.621331	NULL	NULL	NULL	NULL	0.573866	NULL	NULL
3.3376e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.604474
3.3392e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.609136	NULL
3.3408e-08	NULL	0.661921	NULL	0.603236	0.662293	0.650081	NULL	NULL	NULL	0.604689
3.3424e-08	0.638452	NULL	0.62149	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3.344e-08	NULL	NULL	NULL	0.603848	NULL	NULL	0.612295	NULL	NULL	0.605266
3.3456e-08	NULL	0.662511	NULL	NULL	0.662927	0.650271	NULL	0.573586	0.60883	NULL
3.3472e-08	0.638988	NULL	NULL	NULL	NULL	NULL	0.612541	NULL	NULL	NULL
3.3488e-08	NULL	0.663175	0.622281	0.605166	0.663586	NULL	NULL	0.57382	0.608913	0.606448
3.352e-08	0.640084	NULL	NULL	NULL	NULL	0.650935	NULL	NULL	NULL	NULL
